epoch,,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),,val/box_loss,val/cls_loss,val/dfl_loss
218,,1.92235,1.89692,2.5026,0.83818,0.88585,0.90476,,1.40968,1.1504,2.03587
219,,1.92862,1.96494,2.52206,0.83831,0.88265,0.904,,1.40845,1.15157,2.03524
220,,1.90333,1.88305,2.50657,0.83906,0.88236,0.90412,,1.40823,1.14732,2.03531
221,,1.92551,1.90791,2.50841,0.84034,0.88483,0.90439,,1.40624,1.14748,2.03413
222,,1.90035,1.86727,2.49523,0.83862,0.88309,0.90493,,1.40616,1.14572,2.03455
223,,1.90872,1.92877,2.51272,0.8359,0.88523,0.90586,,1.40551,1.14624,2.03442
224,,1.91087,1.90239,2.49819,0.83646,0.88254,0.90587,,1.40408,1.14653,2.03316
225,,1.92842,1.91528,2.50895,0.83881,0.88216,0.90547,,1.40215,1.14742,2.03327
226,,1.8931,1.85493,2.49336,0.8383,0.88256,0.90517,,1.40263,1.14711,2.03335
227,,1.88171,1.87211,2.49719,0.83862,0.88191,0.90606,,1.40406,1.14431,2.03341
228,,1.90072,1.88457,2.50352,0.83472,0.886,0.90618,,1.40247,1.14503,2.03287
229,,1.9094,1.90986,2.5115,0.8379,0.88188,0.90554,,1.4033,1.14466,2.03293
230,,1.896,1.85173,2.49019,0.84092,0.88005,0.90583,,1.40224,1.14468,2.03199
231,,1.90365,1.88279,2.49896,0.83872,0.88047,0.90575,,1.4019,1.14257,2.03252
232,,1.88642,1.86373,2.49253,0.83768,0.881,0.90638,,1.40162,1.14059,2.03154
233,,1.89503,1.88329,2.49749,0.83903,0.88034,0.90678,,1.4007,1.13997,2.03083
234,,1.88656,1.87315,2.49395,0.83738,0.88319,0.90662,,1.40072,1.13908,2.03041
235,,1.88451,1.86333,2.48853,0.83216,0.88816,0.90627,,1.40026,1.13935,2.03042
236,,1.861,1.86536,2.4845,0.8343,0.88962,0.90619,,1.39926,1.13956,2.02954
237,,1.89516,1.8764,2.50073,0.83521,0.88837,0.90624,,1.40013,1.1389,2.02994
238,,1.89634,1.88481,2.49052,0.83362,0.88845,0.90621,,1.39945,1.13991,2.02989
239,,1.89474,1.87716,2.49631,0.835,0.88532,0.90638,,1.39868,1.14005,2.02883
240,,1.86989,1.8556,2.47583,0.83349,0.8862,0.90647,,1.39911,1.13903,2.02919
241,,1.86289,1.8497,2.4751,0.83624,0.88492,0.90629,,1.39837,1.14066,2.02871
242,,1.89381,1.87266,2.48825,0.83311,0.88438,0.90648,,1.39735,1.14117,2.02758
243,,1.86062,1.82608,2.4696,0.83164,0.88505,0.90672,,1.39752,1.14069,2.02729
244,,1.88571,1.87071,2.48407,0.84391,0.87656,0.90663,,1.39698,1.14012,2.0265
245,,1.84362,1.80877,2.45757,0.84529,0.87602,0.90658,,1.39646,1.13982,2.02613
246,,1.84245,1.82927,2.47449,0.84339,0.87799,0.90648,,1.39555,1.14131,2.02544
247,,1.87171,1.83152,2.47502,0.84208,0.87897,0.90624,,1.3947,1.14174,2.02543
248,,1.85921,1.83847,2.46641,0.83883,0.88383,0.90637,,1.39389,1.14171,2.02523
249,,1.84458,1.81572,2.46209,0.84189,0.88015,0.90652,,1.3936,1.14147,2.02473
250,,1.87539,1.84561,2.47956,0.83881,0.88201,0.90648,,1.39318,1.14117,2.0243
251,,1.87452,1.86376,2.48211,0.83911,0.87984,0.90662,,1.39261,1.1409,2.02398
252,,1.82917,1.78359,2.45307,0.83862,0.88115,0.90656,,1.39225,1.14062,2.02335
253,,1.85774,1.84298,2.47285,0.83941,0.88146,0.90692,,1.39201,1.13961,2.02341
254,,1.8566,1.82522,2.46439,0.83778,0.88253,0.90693,,1.39241,1.14143,2.02301
255,,1.86349,1.82491,2.47005,0.84011,0.88248,0.90705,,1.39238,1.14149,2.02324
256,,1.82755,1.78079,2.45741,0.8404,0.88131,0.90715,,1.39173,1.14049,2.02263
257,,1.84099,1.79068,2.45569,0.84168,0.88112,0.9072,,1.39128,1.14118,2.02257
258,,1.86515,1.82748,2.47514,0.84262,0.88244,0.90718,,1.39111,1.14118,2.02279
259,,1.8502,1.8051,2.46652,0.83971,0.88395,0.90719,,1.39071,1.14132,2.02237
260,,1.84023,1.8025,2.47091,0.84525,0.8797,0.90716,,1.39046,1.14221,2.02257
261,,1.83751,1.81296,2.46023,0.84267,0.88131,0.90717,,1.39011,1.14185,2.0224
262,,1.83675,1.76752,2.45054,0.84364,0.88224,0.90703,,1.38992,1.14145,2.0224
263,,1.82932,1.79959,2.46148,0.84093,0.88347,0.90696,,1.38916,1.14152,2.02165
264,,1.81542,1.7663,2.45695,0.84142,0.88298,0.90677,,1.38866,1.14316,2.02043
